viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,persistent_anomaly,date
1,9.25744915,104.8415985,326.3200378,0.375,0.375,8,2.2452054,0,2023-01-31
1,10.49845123,106.2221527,341.5850525,0.375,0.375,8,19.33635902,0,2023-01-31
1,10.49785423,106.2175674,341.975708,0.375,0.375,8,19.33635902,0,2023-01-31
1,10.73687935,107.5689316,334.6792603,0.375,0.375,8,4.28751326,0,2023-01-31
1,10.663414,106.6710892,331.5563965,0.375,0.375,8,12.17864704,0,2023-01-31
1,10.86181355,107.8295441,367,0.375,0.375,9,5.1089263,0,2023-01-31
1,10.86219883,107.8325424,330.1199036,0.375,0.375,8,5.1089263,0,2023-01-31
1,10.85224724,107.7551346,347.4522705,0.375,0.375,8,3.20862174,0,2023-01-31
1,10.86687279,107.8287888,338.4961243,0.375,0.375,8,5.1089263,0,2023-01-31
1,10.90445042,107.5669861,341.8665161,0.375,0.375,8,11.4154377,0,2023-01-31
1,11.0357933,108.027504,367,0.375,0.375,9,10.62869453,0,2023-01-31
1,11.03729439,108.027916,347.6196899,0.375,0.375,8,3.81434822,0,2023-01-31
1,11.03694534,108.0250778,333.7620544,0.375,0.375,8,3.81434822,0,2023-01-31
1,10.62753868,104.6779327,334.0750732,0.375,0.375,8,2.34718251,0,2023-01-31
1,11.22993565,108.6660767,350.7401428,0.375,0.375,8,4.73752832,0,2023-01-31
1,11.01406384,106.9446106,353.7902222,0.375,0.375,8,33.68576431,0,2023-01-31
1,11.01459026,106.9483643,341.8131409,0.375,0.375,8,20.98172569,0,2023-01-31
1,11.01393318,106.9431686,335.8269959,0.375,0.375,8,20.98172569,0,2023-01-31
1,11.23236179,108.6662598,367,0.375,0.375,9,6.96168232,0,2023-01-31
1,11.15915966,108.0663452,367,0.375,0.375,9,8.00006294,0,2023-01-31
1,10.58747864,103.5731125,333.9149475,0.375,0.375,8,4.81762838,0,2023-01-31
1,10.73655033,103.9017716,332.6264648,0.375,0.375,8,8.00240517,0,2023-01-31
1,10.74685383,103.8903503,344.1959229,0.375,0.375,8,6.32734728,0,2023-01-31
1,10.84339523,104.3543091,332.4857483,0.375,0.375,8,4.68386316,0,2023-01-31
1,11.24067497,107.2264633,341.1579895,0.375,0.375,8,5.59734154,0,2023-01-31
1,11.24556732,107.2258377,343.1525574,0.375,0.375,8,5.59734154,0,2023-01-31
1,10.76843739,103.6796417,338.8552551,0.375,0.375,8,4.11968088,0,2023-01-31
1,10.77091026,103.6812134,341.9854126,0.375,0.375,8,4.17848015,0,2023-01-31
1,10.75904465,103.2313767,337.6784058,0.375,0.375,8,4.91364241,0,2023-01-31
1,11.32656097,107.140564,337.9647217,0.375,0.375,8,2.50323439,0,2023-01-31
1,10.96446514,104.3911591,332.835144,0.375,0.375,8,4.71112394,0,2023-01-31
1,11.00014114,104.4992065,344.6326904,0.375,0.375,8,8.46685982,0,2023-01-31
1,10.97735596,104.2794266,330.2776489,0.375,0.375,8,2.13378215,0,2023-01-31
1,11.00008011,104.4983215,347.0931397,0.375,0.375,8,8.85526085,0,2023-01-31
1,10.98654461,104.1853867,340.8182678,0.375,0.375,8,14.6926918,0,2023-01-31
1,10.99050808,104.1847839,341.0924683,0.375,0.375,8,14.6926918,0,2023-01-31
1,10.90975475,103.3748169,334.4875794,0.375,0.375,8,3.53293586,0,2023-01-31
1,11.05044651,104.2082748,332.8545532,0.375,0.375,8,4.96515226,0,2023-01-31
1,11.00224876,103.8089066,333.9707336,0.375,0.375,8,9.16294098,0,2023-01-31
1,11.00310898,103.8060684,340.5222473,0.375,0.375,8,7.95685387,0,2023-01-31
1,10.96991539,103.3348694,333.8615418,0.375,0.375,8,4.66526842,0,2023-01-31
1,10.97368622,103.3343506,338.9668579,0.375,0.375,8,4.66526842,0,2023-01-31
1,10.97865868,103.3148422,331.5636597,0.375,0.375,8,3.53633809,0,2023-01-31
1,11.05542088,103.4222412,339.3186951,0.375,0.375,8,5.06955528,0,2023-01-31
1,11.18327427,104.2985153,334.815155,0.375,0.375,8,4.21445513,0,2023-01-31
1,11.04199028,103.3011246,345.6008606,0.375,0.375,8,6.85882902,0,2023-01-31
1,10.3740778,98.75991821,333.4902954,0.375,0.375,8,7.5804162,0,2023-01-31
1,11.04238415,103.3031235,348.2942505,0.375,0.375,8,11.97716236,0,2023-01-31
1,11.18446827,104.2981644,330.1369019,0.375,0.375,8,4.78670502,0,2023-01-31
1,11.55103207,106.5120544,341.3278198,0.375,0.375,8,7.44604492,0,2023-01-31
1,11.55570698,106.5114212,349.9248657,0.375,0.375,8,10.99470043,0,2023-01-31
1,11.14581585,103.2741776,334.1260376,0.375,0.375,8,4.59035158,0,2023-01-31
1,11.14646816,103.2756043,332.5003052,0.375,0.375,8,3.84928703,0,2023-01-31
1,11.17536831,103.2903519,331.5588074,0.375,0.375,8,4.64437008,0,2023-01-31
1,11.67877865,106.7822952,343.4606934,0.375,0.375,8,9.13831902,0,2023-01-31
1,11.38044643,104.404892,335.5018616,0.375,0.375,8,2.56055641,0,2023-01-31
1,11.75402641,106.8735046,339.5395203,0.375,0.375,8,9.99837875,0,2023-01-31
1,11.75333023,106.8682556,333.3981018,0.375,0.375,8,6.50848722,0,2023-01-31
1,11.32971287,103.7249146,338.0375366,0.375,0.375,8,9.34398651,0,2023-01-31
1,11.32994366,103.7216034,344.370636,0.375,0.375,8,29.19437981,0,2023-01-31
1,11.33381653,103.7210617,354.4478149,0.375,0.375,8,29.19437981,0,2023-01-31
1,11.75249863,106.8703919,350.9536743,0.375,0.375,8,11.451684,0,2023-01-31
1,11.31661987,103.2575073,333.4563294,0.375,0.375,8,28.91583633,0,2023-01-31
1,11.64808178,105.6582794,336.0720825,0.375,0.375,8,5.22413015,0,2023-01-31
1,11.92426586,107.7174912,335.3004456,0.375,0.375,8,2.74619961,0,2023-01-31
1,12.07002831,108.8447266,329.2269592,0.375,0.375,8,1.16010261,0,2023-01-31
1,11.960886,107.8009415,367,0.375,0.375,9,9.62849236,0,2023-01-31
1,11.96049118,107.7978592,330.8187561,0.375,0.375,8,4.25995398,0,2023-01-31
1,11.94924831,107.7099762,332.6871338,0.375,0.375,8,1.9163506,0,2023-01-31
1,11.34642506,103.1969147,332.9200745,0.375,0.375,8,3.8172853,0,2023-01-31
1,11.35739899,103.2469864,332.7089844,0.375,0.375,8,2.1898303,0,2023-01-31
1,11.35376453,103.1678925,335.8682556,0.375,0.375,8,5.55600405,0,2023-01-31
1,11.35719299,103.243782,334.8297119,0.375,0.375,8,3.83824635,0,2023-01-31
1,11.35467243,103.1691513,335.2131043,0.375,0.375,8,6.15972805,0,2023-01-31
1,11.68612099,105.6451645,331.8111877,0.375,0.375,8,3.88338518,0,2023-01-31
1,11.36279583,103.1726074,334.2958984,0.375,0.375,8,6.78046989,0,2023-01-31
1,11.36216831,103.168045,336.190979,0.375,0.375,8,8.66837311,0,2023-01-31
1,11.96270084,107.7984772,367,0.375,0.375,9,6.01852942,0,2023-01-31
